ID,Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture
1,Neurodiversity,Career Pathway,,Accessible & Inclusive Workspaces
5,,,,"Accessible & Inclusive Workspaces, Diverse Representation"
7,,"Recruitment Strategies, Career Progression",Resource Allocation,"Harassment, Bullying And Microagression Prevention, Accessible & Inclusive Workspaces, Diverse Representation, Inclusive Language"
8,"Sex, Race, Age, Nationality, Abilties, Socio-Economic Background",,Panel Diversity,Diverse Representation
9,Disability,,,Inclusive Language
11,"Age, Disability, Trans Identity, Pregnancy And Maternity, Race, Religion Or Belief, Sex, Sexual Orientation",,"Addressing Structural Inequality, Transparency And Accessiblity Of Process",
13,Race,"Retention Strategies, Professional Development, Diverse Leadership, Recruitment Strategies",Application Support,
15,,,,"Harassment, Bullying And Microagression Prevention, Diverse Representation"
17,,Pipeline Development,,Policy Review & Reform
18,,,,"Policy Review & Reform, Accessible & Inclusive Workspaces"
19,,Career Pathway,Research Funding Process,Organisational Culture
20,,"Leadership Development, Career Progression, Mentorship & Sponsorship",,
21,Disability,,,Accessible & Inclusive Workspaces
22,"Sexual Orientation, Trans Identity",,,"Inclusive Language, Allyship, Cultural Competency, Diverse Representation"
23,"Sexual Orientation, Trans Identity",,,"Policy Review & Reform, Cultural Competency, Belonging Initiatives"
24,"Trans Identity, Sexual Orientation",,,Policy Review & Reform
25,Neurodiversity,,,Accessible & Inclusive Workspaces
27,"Disability, Neurodiversity",,,"Awareness Training, Accessible & Inclusive Workspaces"
29,,"Recruitment Strategies, Diverse Leadership",,
32,Sexual Orientation,,,Inclusive Language
33,"Disability, Neurodiversity, Temporary Impairment",,,Accessible & Inclusive Workspaces
35,,"Recruitment Strategies, Pipeline Development, Professional Development",,"Management Structures, Monitoring And Evaluation"
36,,,,"Belonging Initiatives, Diverse Representation, Cultural Competency"
38,,Career Progression,,Accessible & Inclusive Workspaces
39,,"Recruitment Strategies, Barrier Removal",,Inclusive Language
40,,,,"Accessible & Inclusive Workspaces, Diverse Representation, Harassment, Bullying And Microagression Prevention"
41,,Recruitment Strategies,,
42,,,,"Belonging Initiatives, Diverse Representation, Cultural Competency"
44,"Race, Sex","Professional Development, Career Progression, Career Retention, Visibility & Recognition, Diverse Leadership",,"Belonging Initiatives, Cultural Competency, Systemic Change"
46,,,,Accessible & Inclusive Workspaces
47,Disability,,,"Belonging Initiatives, Employee Resource Groups"
48,Race,Pipeline Development,,
52,,"Recruitment Strategies, Career Progression, Retention Strategies, Diverse Leadership",,Cultural Competency
53,Neurodiversity,,,Accessible & Inclusive Workspaces
54,,Pipeline Development,,"Diverse Representation, Policy Review & Reform, Data Collection & Monitoring, Accessible & Inclusive Workspaces, Inclusive Leadership"
55,"Sex, Race, Disability, Neurodiversity, Socio-Economic Background, Religion Or Belief","Recruitment Strategies, Visibility & Recognition, Career Progression, Mentorship & Sponsorship","Application Processes, Advertising Approach","Cultural Competency, Inclusive Language, Accessible & Inclusive Workspaces, Inclusive Leadership, Harassment, Bullying And Microagression Prevention, Bias, Work-Life Balance"
56,,,,"Inclusive Workplaces, Disseminating Good Practice, Barrier Removal"
57,"Sex, Race, Trans Identity, Sexual Orientation",Leadership Development,,Systemic Change
58,Sex,,,"Diverse Representation, Policy Review & Reform"
59,,,,"Accessible & Inclusive Workspaces, Harassment, Bullying And Microagression Prevention, Belonging Initiatives, Policy Review & Reform"
62,"Sex, Trans Identity, Sexual Orientation","Recruitment Strategies, Career Progression, Leadership Development, Retention Strategies, Visibility & Recognition",Targeted Grants,Belonging Initiatives
63,,"Barrier Removal, Recruitment Strategies, Mentorship & Sponsorship",Targeted Grants,
64,,,,Accessible & Inclusive Workspaces
65,,"Recruitment Strategies, Diverse Leadership",,"Cultural Competency, Systemic Change"
67,,,,Organisational Culture
70,,,,"Harassment, Bullying And Microagression Prevention"
71,,,,"Harassment, Bullying And Microagression Prevention"
72,Race,"Pipeline Development, Diverse Leadership",Targeted Grants,Systemic Change
73,,,,"Belonging Initiatives, Allyship & Advocacy"
76,Sex,"Barrier Removal, Equitable Opportunities, Development Opportunities",,
79,,"Career Progression, Recruitment Strategies, Mentorship & Sponsorship, Diverse Leadership",,"Diverse Representation, Policy Review & Reform, Employee Resource Groups, Cultural Competency"
80,Career Stage,Career Progression,"Application Support, Securing Funding",
81,Career Stage,Leadership Development,"Application Support, Securing Funding",
82,Sex,"Mentorship & Sponsorship, Career Progression",,
83,Career Stage,"Leadership Development, Mentorship & Sponsorship",,
84,Career Stage,Mentorship & Sponsorship,,
85,,"Mentorship & Sponsorship, Diverse Leadership",,Cultural Competency
86,Sex,"Barrier Removal, Professional Development, Network Development",,
87,Sex,,,"Research Design, Systemic Change"
89,,,,Accessible & Inclusive Workspaces
91,,,,Accessible & Inclusive Workspaces
92,,"Recruitment Strategies, Professional Development, Barrier Removal",,"Research Design, Systemic Change, Diverse Representation"
94,Sex,,,"Research Design, Policy Review & Reform"
95,,,,Inclusive Language
96,Disability,,,Accessible & Inclusive Workspaces
97,Job Roles,Visibility & Recognition,,Policy Review & Reform
98,,Pipeline Development,,"Diverse Representation, Work-Life Balance, Policy Review & Reform, Systemic Change, Accessible & Inclusive Workspaces, Adaptive Research Enviroments"
99,Race,,,"Harassment, Bullying And Microagression Prevention"
100,"Sex, Caring Responsiblities, Race, Career Stage, Disability",Equitable Opportunities,"Panel Diversity, Bias Mitigation, Resource Allocation, Application Processes","Anti-discrimination Measures, Accessible & Inclusive Workspaces, Diverse Representation"
101,,,"Bias Mitigation, Panel Diversity, Application Support, Peer Review, Eligiblity Criteria, Addressing Structural Inequality, Advertising Approach, Application Processes",
102,"Sex, Race, Sexual Orientation, Trans Identity, Caring Responsiblities, Disability",,"Bias Mitigation, Eligiblity Criteria, Peer Review, Application Processes",
103,Disability,,,Accessible & Inclusive Workspaces
104,,"Mentorship & Sponsorship, Equitable Opportunities, Networking & Collaboration",,
105,Disability,,,Accessible & Inclusive Workspaces
