ID,Example,Title,Author,Institution,Link,LinkIsAccesible,Included_Excluded,Reason for Exclusion (if applicable),Date Accessed,Date Created,Accountable Person,Summary (will be generated using AI),Subject of Resource (Archived),Type of Resource (Archived),Resource Subject (Modified),Resource Type (Modified),Resource Format (Modified),Sector,Level,Discipline (Archived),Individual Characteristics,Career Pathway,Research Funding Process,Organisational Culture,Miscellaneous Themes,Evaluated in Resource,Evaluation Link,Evalution Methods,Outcomes Measured,EDI Intervention Readiness Level,EDI Intervention Readiness (Archive)
1,,"Hosting Accessible Online Events, Meetings and Webinars",Autistica,Autistica,https://www.autistica.org.uk/what-is-autism/coronavirus/accessible-online-events,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,Framework,Webpage,"Policies, Strategies & Processes",Guidance Resources,Webpage,Not-for-profit,University/Organisation,Any,Neurodiversity,Career Pathway,,Accessible & Inclusive Workspaces,,No,,,,Pilot in single setting,Pilot in single setting
2,Example,What Is White Privilege?,John Amaechi,BBC Bitesize,https://www.bbc.co.uk/bitesize/articles/zrvkbqt,Available,Excluded ,Describing and raising awareness of an aspect of EDI but not providing resource of an initative.,2025-04-14 00:00:00,2020-07-01 00:00:00,Anna Linton,,Training,Video,,,,Not-for-profit,Other,Any,Race,,,,,,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
3,,The Quiet Power of Introverts ,BBC Ideas,BBC Ideas,https://www.youtube.com/watch?v=o1Y4Z0oh1GE,Available,Excluded ,Describing and raising awareness of an aspect of EDI but not providing resource of an initative.,2025-04-14 00:00:00,2020-01-01 00:00:00,Anna Linton,,Training,Video,,,,Not-for-profit,,Any,Abilities ,,,,,,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
4,,We Must Reshape the System to Value and Support Difference,Dame Ottoline Leyser ,UKRI,https://www.ukri.org/blog/we-must-reshape-the-system-to-value-and-support-difference,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
5,,"All Welcome Guide to Inclusive, Accessible and Sustainable Events",British Academy of Management,British Academy of Management,https://www.bam.ac.uk/knowledge-hub/inclusive-accessible-and-sustainable-events.html,Available,Included  ,,2025-04-14 00:00:00,2021-11-01 00:00:00,Anna Linton,,Framework,PDF,"Policies, Strategies & Processes",Guidance Resources,Document,Not-for-profit,Learned Society,Non-EPS,Not Specified,,,"Accessible & Inclusive Workspaces, Diverse Representation",,No,,,,Scaling,Scaling
6,,Diversity And Inclusion Hub ,Pearn Kandola,,https://pearnkandola.com/diversity-and-inclusion-hub/,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
7,,"We Are the Ones That We Seek: Equality, Diversity and Inclusion In CREDS",Sarah Higginson,Centre for Research into Energy Demand Solutions,https://www.creds.ac.uk/publications/we-are-the-ones-that-we-seek-equality-diversity-and-inclusion-in-creds/,Available,Included  ,,2025-04-14 00:00:00,2023-12-01 00:00:00,Anna Linton,,Project,Webpage,Programme or Initiative,Article,Webpage,Academia,Project,Energy and Decarbonisation,Not Specified,"Recruitment Strategies, Career Progression", Resource Allocation,"Harassment, Bullying and Microagression Prevention, Accessible & Inclusive Workspaces, Diverse Representation, Inclusive Language",,Yes ,https://www.creds.ac.uk/evaluating-the-impact-of-equality-diversity-and-inclusion-edi-research/,Reporting and Monitoring,"recrutiment statistics, EDI action plan, publications, call for evidence, supporting tools",Pilot in single setting,Scaling
8,,Diverse Panel Pledge,CGIAR,CGIAR,https://www.cgiar.org/how-we-work/accountability/gdi-panel-pledge/,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,"Strategies, policies or processes",Webpage,Programme or Initiative,Informational Resource,Webpage,Not-for-profit,Multiple Universities/Organisations,Agriculture,"Sex, Race, Age, Nationality, Abilties, Socio-Economic Background",,Panel Diversity ,Diverse Representation,,No,,,,Not applicable,Scaling
9,Example,Inclusive Language: Words To Use and Avoid When Writing About Disability,"Disability Unit, GOV.UK","Disability Unit, GOV.UK",https://www.gov.uk/government/publications/inclusive-communication/inclusive-language-words-to-use-and-avoid-when-writing-about-disability,Available,Included  ,,2025-04-14 00:00:00,2021-03-01 00:00:00,Anna Linton,,Framework,Webpage,"Policies, Strategies & Processes",Guidance Resources,Webpage,Government,University/Organisation,Any,Disability,,,Inclusive Language,,No,,,,Pilot in single setting,Pilot in single setting
10,,"Equality, Diversity and Inclusion Champions",University of Warwick ,University of Warwick ,https://warwick.ac.uk/services/socialinclusion/about/people/champions/ediwellbeingchampions,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
11,,"The Equality Act 2010: Positive Action Through Bursaries, Scholarships and Prizes",Equality Change Unit,Equality Change Unit,https://s3.eu-west-2.amazonaws.com/assets.creode.advancehe-document-manager/documents/ecu/positive-action-through-bursaries-scholarships-and-prizes_1578925829.pdf,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,"Strategies, policies or processes",Policy Document,"Policies, Strategies & Processes",Policy Document,Document,Academia,Multiple Universities/Organisations,Any,"Age, Disability, Trans Identity, Pregnancy and Maternity, Race, Religion or Belief, Sex, Sexual Orientation",,"Addressing Structural Inequality, Transparency and Accessiblity of Process",,,No,,,,Not applicable,Widespread Adoption 
12,,Events Code of Conduct ,Knowledge transfer network ,Knowledge transfer Network,https://info.ktn-uk.org/p/2VFU-94T/inspiring-diversity-in-manufacturing-speaker-list,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
13,,The Broken Pipeline Report: Barriers to Black PhD Students Accessing Research Council Funding,"Paulette Williams, Sukhi Bath, Dr. Jason Arday and Chantelle Lewis",Leading Routes,https://www.leadingroutes.org/the-broken-pipeline-report/,Available,Included  ,,2025-04-14 00:00:00,2019-09-01 00:00:00,Anna Linton,,Other,Report,Other,Report,Document,Academia,,Any,Race,"Retention Strategies, Professional Development, Diverse Leadership, Recruitment Strategies", Application Support,,,No,,,,Not applicable,Widespread adoption
14,,Racism In Universities Podcast,Pearn Kandola,,https://pearnkandola.com/diversity-and-inclusion-hub/guides-and-tools/racism-at-work-podcast-episode-4-racism-in-universities/,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
15,,LMS Advice on Diversity of Speakers at Conferences and Seminars,Women and Diversity in Mathematics,London Mathematical Society,https://www.lms.ac.uk/women/speaker-diversity-conferences-seminars,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,Framework,Webpage,"Policies, Strategies & Processes",Guidance Resources,Webpage,Academia,University/Organisation,Mathematical sciences,Not Specified,,,"Harassment, Bullying and Microagression Prevention, Diverse Representation",,No,,,,Not applicable,Scaling
17,,Reports And Policy Submissions,London Mathematical Society ,London Mathematical Society,https://www.lms.ac.uk/policy/reports-and-policy-submissions ,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,"Strategies, policies or processes",Webpage,"Policies, Strategies & Processes",Databases and List,Webpage,Academia,Learned Society,Mathematical sciences,Not Specified, Pipeline Development,,Policy Review & Reform,,No,,,,Not applicable,
18,,"Diversity Statements, Policy, Advice",London Mathematical Society ,London Mathematical Society,https://www.lms.ac.uk/women/diversity-statements-policy-advice ,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,"Strategies, policies or processes",Webpage,"Policies, Strategies & Processes",Databases and List,Webpage,Academia,Learned Society,Mathematical sciences,Not Specified,,,"Policy Review & Reform, Accessible & Inclusive Workspaces",,No,,,,Not applicable,
19,,Inclusivity In Materials Science,Nature Reviews Materials,Nature Reviews Materials,https://www.nature.com/collections/jdgjdceijd,Available,Included  ,,2025-04-14 00:00:00,2023-09-01 00:00:00,Anna Linton,,Database/List,Webpage,Informational,Databases and List,Webpage,Academia,Multiple Universities/Organisations,Manufacturing the Future,Not Specified,Career Pathway,Research Funding Process,Organisational Culture,,No,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
20,,Northern Power Inclusion Matters Project,Northern Power Inclusion Matters,Northern Power Inclusion Matters,https://northernpowerinclusion.org/,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Multiple Universities/Organisations,EPS - general,Not Specified,"Leadership Development, Career Progression, Mentorship & Sponsorship",,,,Yes,https://collections.durham.ac.uk/files/r1j098zb14w,Not Specified,Career Progression of staff; Securing funding,Scaling,Pilot in single setting
21,,Phy Soc Podcast Episode - Prof. Kate Sang,Prof. Kate Sang,"PhySoc, St Andrews University",https://www.st-andrews.ac.uk/~physoc1/insight/episode.php?s=academics&ep=41,Available,Included  ,,2025-04-14 00:00:00,2021-07-01 00:00:00,Anna Linton,,Framework,Podcast,Informational,Informational Resource,Podcast,Academia,Project,Physical Sciences,Disability,,,Accessible & Inclusive Workspaces,,No,,,,Proof of Concept,Proof of Concept
22,,LGBT+ Toolkit ,Royal Society of Chemistry ,Royal Society of Chemistry ,https://www.rsc.org/policy-evidence-campaigns/inclusion-diversity/resources/lgbt-toolkit/,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,Framework,Toolkit,Programme or Initiative,Guidance Resources,Webpage,Not-for-profit,Learned Society,Physical Sciences,"Sexual Orientation, Trans Identity",,,"Inclusive language, Allyship, Cultural Competency, Diverse Representation ",,No,,,,Widespread adoption,Widespread adoption
23,,Exploring The Workplace For LGBT+ Physical Scientists,"Institute of Physics, Royal Astronomical Society and the Royal Society of Chemistry",Royal Society of Chemistry ,https://www.rsc.org/policy-evidence-campaigns/inclusion-diversity/surveys-reports-campaigns/lgbt-report/,Available,Included  ,,2025-04-14 00:00:00,2019-06-01 00:00:00,Anna Linton,,Framework,Webpage,Informational,Report,Webpage,Not-for-profit,Learned Society,Physical Sciences,"Sexual Orientation, Trans Identity",,,"Policy Review & Reform,  Cultural Competency, Belonging Initiatives,",,No,,,,Pilot in single setting,Awareness and conceptualisation 
24,,Considering International Mobility For LGBT+ Scientists,Royal Society of Chemistry ,Royal Society of Chemistry ,https://www.rsc.org/globalassets/22-new-perspectives/talent/inclusion-and-diversity/resources/lgbt-toolkit/considering-lgbt-international-mobility.pdf,Available,Included  ,,2025-04-14 00:00:00,2020,Anna Linton,,Framework,Report,Informational,Guidance Resources,Document,Academia,Learned Society,Physical Sciences,"Trans Identity, Sexual Orientation",,,Policy Review & Reform,"Travel and Mobility, Charactersitics specific support",No,,,,Pilot in single setting,Pilot in single setting
25,,An Employer's Guide to ADHD In the Workplace ,Scottish ADHD Coalition,Scottish ADHD Coalition,https://www.scottishadhdcoalition.org/wp-content/uploads/2018/03/Employers-guide-to-ADHD-SAC-2018.pdf,Available,Included  ,,2025-04-14 00:00:00,2018-03-01 00:00:00,Anna Linton,,Framework,PDF,"Policies, Strategies & Processes",Guidance Resources,Document,Not-for-profit,Not Specified,Any,Neurodiversity,,,Accessible & Inclusive Workspaces,,No,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
26,,Virtual Sandpits: A How-To Guide,y Dmitry Dereshev. Edits by Natalie Theodoulou.,SPRITE network+,https://spritehub.org/wp-content/uploads/2020/12/SPRITE-Virtual-Sandpits-A-How-To-Guide.pdf,Page not found,Excluded,,2026-02-05 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
27,,Comprehensive Guidance on Modifying Existing Lab Spaces to Enable Equal Access to Disabled Students,STEMenabled,STEMenabled,https://robertaerichardson.wixsite.com/stemenabled,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,Framework,Webpage,Informational,Guidance Resources,Webpage,Not-for-profit,,Non-EPS,"Disability, Neurodiversity",,,"Awareness Training, Accessible & Inclusive Workspaces, ",,No,,,,Pilot in single setting,Pilot in single setting
28,,Euros 2020: What All of Us Can Learn from Gareth Southgate,Matthew Syed,BBC News,https://www.bbc.co.uk/news/world-57698821,Available,Excluded ,Not specific to EDI ,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
29,,"Who You Should Hire, Fire & Promote",Stephen Frost ,TEDxFulbrightGlasgow,https://www.youtube.com/watch?app=desktop&v=cAs49Cl4kJ8,Available,Included  ,,2025-04-14 00:00:00,2019-09-01 00:00:00,Anna Linton,,Training,Video,Informational,Presentation,Video,Other,Single University/Organisation,Non-EPS,Not Specified,"Recruitment Strategies, Diverse Leadership",,,,No,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
30,,Text.Io Research,Text.io,Text.io,https://textio.com/resources/research,Available,Excluded ,Not related to EDI ,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
31,,Equality Act 2021,Government Equalities Office,Government Equalities Office,https://assets.publishing.service.gov.uk/government/uploads/system/uploads/attachment_data/file/85014/positive-action-recruitment.pdf,Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
32,,Using Pronouns in The Workplace,The Law Society,The Law Society,https://www.lawsociety.org.uk/topics/hr-and-people-management/using-pronouns-in-the-workplace,Available,Included  ,,2025-04-14 00:00:00,2021-03-01 00:00:00,Anna Linton,,Framework,Webpage,Informational,Guidance Resources,Webpage,Not-for-profit,University/Organisation,Non-EPS,Sexual Orientation,,,Inclusive Language,,No,,,,Awareness and conceptualisation ,Awareness and conceptualisation 
33,,Accessibility Posters,UK Home Office ,UK Home Office ,https://github.com/UKHomeOffice/posters/blob/master/accessibility/dos-donts/posters_en-UK/accessibility-posters-set.pdf,Available,Included  ,,2025-04-14 00:00:00,2019-09-01 00:00:00,Anna Linton,,Framework,Poster,Informational,Poster,Dataset,Government,Single University/Organisation,Non-EPS,"Disability, Neurodiversity, Temporary Impairment, ",,,Accessible & Inclusive Workspaces,,No,,,,Scaling,Scaling
34,,Reimagining Recruitment,Reimagining Recruitment team,University of Bath,https://www.bath.ac.uk/projects/reimagining-recruitment/,Available,Excluded,Project has ended,2025-04-14 00:00:00,2018-10-01 00:00:00,Anna Linton,,Project ,Webpage,,,,Academia,University/Organisation,EPS - not specified,Not Specified,Recruitment,,,,,,,,Proof of Concept,Proof of Concept
35,,UKRI Good Practice Principles in Recruitment and Training at A Doctoral Level,UKRI,UKRI,https://www.ukri.org/publications/ukri-good-practice-principles-in-recruitment-and-training-at-a-doctoral-level/,Available,Included  ,,2025-04-14 00:00:00,2024-01-01 00:00:00,Anna Linton,,Framework,PDF,"Policies, Strategies & Processes",Guidance Resources,Document,Academia,CDT,Any,Not Specified,"Recruitment Strategies, Pipeline Development, Professional Development",,"Management structures, Monitoring and evaluation",,No,,,,Scaling,Scaling
36,,"Equality, Diversity and Inclusion Champions",University of York ,University of York ,https://www.york.ac.uk/about/departments/support-and-admin/edo/champions/,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,Recognition Scheme,Webpage,Recognition Schemes ,Student/Staff Profiles,Webpage,Academia,University/Organisation,Any,Not Specified,,,"Belonging Initiatives, Diverse Representation, Cultural Competency",,No,,,,Pilot in single setting,Pilot in single setting
37,,Events Code of Conduct ,Imperial College London ,Imperial College London ,"https://www.imperial.ac.uk/media/imperial-college/administration-and-support-services/equality/public/Imperial-Conference-Policy,-October-2019.pdf",Page not found,Excluded ,Page not found.,2025-04-14 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
38,,Making Meetings and Events Accessible,University of Manchester,University of Manchester,https://documents.manchester.ac.uk/display.aspx?DocID=11993,Available,Included  ,,2025-04-14 00:00:00,2023-01-01 00:00:00,Anna Linton,,Framework,PDF,"Policies, Strategies & Processes",Guidance Resources,Document,Academia,University/Organisation,Any,Not Specified, Career Progression,,Accessible & Inclusive Workspaces,,No,,,,Pilot in single setting,Pilot in single setting
39,,Towards Diverse Workforces: Transforming The Language of Exclusion and Bias in Recruitment ,University of Nottingham,University of Nottingham,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,Available,Included  ,,2025-04-14 00:00:00,2021-05-01 00:00:00,Anna Linton,,"Strategies, policies or processes",Report,"Policies, Strategies & Processes",Report,Document,"Academia, Industry",Multiple Universities/Organisations,EPS - general,Not Specified,"Recruitment Strategies, Barrier Removal ",,Inclusive Language,,Yes,https://www.stemm-change.co.uk/wp-content/uploads/2021/06/Transforming-the-Language-of-Exclusion-and-Bias-in-Recruitment-June-2021x.pdf,Case study/studies,Policy Adoption,Not applicable,Scaling
40,Example,Best Practice Guide: Developing Inclusive Conferences,"Alice Chautard, and Dr Claire Hann",University of Oxford ,https://reachwater.org.uk/wp-content/uploads/2019/05/2019_05_22_Inclusive-Conference-Guide.pdf,Available,Included  ,,2025-04-14 00:00:00,2019-05-01 00:00:00,Anna Linton,,Framework,PDF,"Policies, Strategies & Processes",Guidance Resources,Document,Academia,Department,Non-EPS,Not Specified,,,"Accessible & Inclusive Workspaces, Diverse Representation,  Harassment, Bullying and Microagression Prevention",,No,,,,Pilot in single setting,Pilot in single setting
41,,HR EDI Online Inclusive Recruitment Guide,University of St Andrews ,University of St Andrews ,https://www.st-andrews.ac.uk/hr/edi/inclusiverec/,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,Training,Webpage,"Policies, Strategies & Processes",Guidance Resources,Webpage,Academia,University/Organisation,Any,Not Specified,Recruitment Strategies,,,,Yes,https://www.st-andrews.ac.uk/hr/edi/inclusiverec/,Quality Impact assessment,,Not applicable,Widespread adoption
42,,"Equality, Diversity and Inclusion Champions",University of Sussex,University of Sussex,https://www.sussex.ac.uk/equalities/networks/equalitydiversityandinclusionchampions,Available,Included  ,,2025-04-14 00:00:00,,Anna Linton,,Recognition Scheme,Webpage,Recognition Schemes ,Student/Staff Profiles,Webpage,Academia,University/Organisation,Any,Not Specified,,,"Belonging Initiatives, Diverse Representation, Cultural Competency",,No,,,,Pilot in single setting,Pilot in single setting
43,,How We Organised Our Most Accessible Event Ever,Erika Loggin,Wellcome Trust ,https://www.linkedin.com/pulse/how-we-organised-our-most-accessible-event-ever-erika-loggin/,Available,Excluded,Blog post (from Wellcome Trust employee),2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,Framework,Blog,,,,Not-for-profit,University/Organisation,Any,Not Specified,,,Accessible & Inclusive Workspaces,,,,,,Pilot in single setting,Pilot in single setting
44,,100 Black Women Professors Now Impact Report ,"Diksha Sanyal, Temitayo Lawal, Cianne Jones, Adèle MacKinlay, Professor Lisa-Dionne Morris",Women Higher Education Network,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,Available,Included  ,,2025-04-14 00:00:00,2024-01-01 00:00:00,Anna Linton,,Programme,Report,Programme or Initiative,Report,Document,Academia,Multiple Universities/Organisations,Non-EPS,"Race, Sex","Professional Development, Career Progression, Career Retention, Visibility & Recognition, Diverse Leadership",,"Belonging Initiatives, Cultural Competency, Systemic Change",,Yes,https://s3.amazonaws.com/kajabi-storefronts-production/file-uploads/sites/45828/downloads/a604721-38ee-61e6-072f-4a0cefa64c6_100BWPN_Impact_Report_2024.pdf,"Anaysis of surveys
and semi-structured interviews.",,Scaling,Scaling
45,Example,W Is for Whiteness in Higher Education,Rachel Vandana Stone,Wonkhe,https://wonkhe.com/blogs/w-is-for-whiteness-in-higher-education/?utm_medium=email&utm_campaign=Wonkhe%20Mondays%20-%2028%20June&utm_content=Wonkhe%20Mondays%20-%2028%20June+CID_9a1a0b1dbec57b2124fe152452f02f7b&utm_source=Email%20marketing%20software&utm_term=unmasks%20white%20privilege%20in%20higher%20education,Available,Excluded,Describing and raising awareness of an aspect of EDI but not providing resource of an initative.,2025-04-14 00:00:00,,Anna Linton,,Training,Webpage,,,,,,,,,,,,,,,,,
46,,SCUPLT For Accessibility , Helen Wilson,Worcestershire County Council,https://www.worcestershire.gov.uk/sites/default/files/2024-12/FINAL%20sculpt%20infographic%20UpdatedV2.1%20%281%29.pdf,Available,Included  ,,2025-04-14 00:00:00,2025-04-01 00:00:00,Anna Linton,,Framework,Webpage,"Policies, Strategies & Processes",Poster,Webpage,Government,University/Organisation,Any,,,,Accessible & Inclusive Workspaces,,Yes,https://www.tech4goodawards.com/finalist/sculpt-for-accessibility/,Not Specified,"Adoption multiple site, Award nomination,",Scaling,Widespread adoption
47,Example,National Association of Disabled Staff Networks,National Association of Disabled Staff Networks,National Association of Disabled Staff Networks,https://www.nadsn-uk.org/,Available,Included  ,,2025-04-23 00:00:00,,Anna Linton,,Project,Webpage,Programme or Initiative,Informational Resource,Webpage,Academia,Multiple Universities/Organisations,Any,Disability,,," Belonging Initiatives,  Employee Resource Groups ",,No,,,,Widespread adoption,Widespread adoption
48,,Association For Black and Ethnic Minority Engineers,Association for Black and Ethnic Minority Engineers,Association for Black and Ethnic Minority Engineers,https://www.afbe.org.uk/,Available,Included  ,,2025-04-23 00:00:00,,Anna Linton,,Employer Engagement and Outreach,Webpage,Employer Engagement & Outreach,Informational Resource,Webpage,Not-for-profit,National Initiative,Engineering,Race,Pipeline Development,,,,No,,,,Widespread Adoption,Widespread Adoption
49,,EDI Resource Bank ,,,https://www.edi-resourcebank.co.uk/resource-bank,Page not found,Excluded,Page not found.,2025-04-23 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
50,,Positive Action Vs Positive Discrimination,,,https://www.stemwomen.co.uk/blog/2019/09/positive-action-vs-positive-discrimination-what-can-your-company-do-to-lawfully-encourage-more-female-applicants,Page not found,Excluded,Page not found.,2025-04-23 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
51,,Russell Group Research Culture and Environment Toolkit,Russell Group,Russell Group,https://www.russellgroup.ac.uk/media/5924/rce-toolkit-final-compressed.pdf,Page not found,Excluded,Page not found.,2025-04-24 00:00:00,,Anna Linton,,,,,,,,,,,,,,,,,,,,
52,Example,Tech Talent Charter Toolkit,Tech Talent Charter,Tech Talent Charter,https://www.techtalentcharter.co.uk/,Available,Included  ,,2025-04-24 00:00:00,2026-02-05 00:00:00,Anna Linton,,Framework,Toolkit,Programme or Initiative,Informational Resource,Webpage,Not-for-profit,Other,Information and Communication Technologies (ICT),Not Specified,"Recruitment Strategies, Career Progression, Retention Strategies, Diverse Leadership",,Cultural Competency,,No,,Reporting and Monitoring,Diversity statistics,Pilot in single setting,Pilot in single setting
53,,Neuro-Inclusive Meetings and Events Toolkit ,EPSRC,EPSRC,https://leeds365.sharepoint.com/:p:/r/sites/TEAM-EPSRCEDIHubPlus/Shared%20Documents/Workstream%202%20-%20Resource%20Centre/Supporting%20Material/EPSRC-Neuro-Inclusion-Meetings-and-Events-Toolkit%20-%20Copy.pptx?d=wb9680e47395240628139d66721f2e57b&csf=1&web=1&e=p5e7cB,Available,Included  ,,2025-04-24 00:00:00,,Anna Linton,,Framework,Toolkit,"Policies, Strategies & Processes",Guidance Resources,Document,Academia,Other,EPS - general,Neurodiversity,,,Accessible & Inclusive Workspaces,,No,,,,Proof of Concept,Pilot in single setting
